survey_long,file,variable,description,sheet,population,definition
National Health Survey,AHSnhs11bsp,DIABSQ6C,Time since last consulted an eye specialist/optometrist for a diabetes related eye condition,Health,Persons told they have diabetes or HSL and have an eye/sight problem due to diabetes/ HSL,NA
National Health Survey,AHSnhs11bsp,LFSBC,Labour force status,Employment,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,EMPTYPCF,Status in employment,Employment,All employed persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,HEALF05E,Number of times consulted GP in last two weeks,Health,Persons who have consulted GP in last 2 weeks,NA
National Health Survey,AHSnhs11bsp,SHFTWKEC,Type of shift work,Employment,All employed persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,HEALF07E,Number of times consulted specialist in last two weeks,Health,Persons who have consulted specialist in last 2 weeks,NA
National Health Survey,AHSnhs11bsp,HEALF11E,Whether admitted to hostpital as inpatient in last two weeks,Health,All persons,NA
National Health Survey,AHSnhs11bsp,HEALF13E,Whether visited outpatient clinic hospital in last two weeks,Health,All persons,NA
National Health Survey,AHSnhs11bsp,DIABSIGE,Time since last consulted an eye specialist/optometrist for any eye condition,Health,Persons told they have diabetes/HSL,NA
National Health Survey,AHSnhs11bsp,CSTUDQ4C,Main field of current non-school qualification (ASCED),Education,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,HEALF15E,Whether visited emergency/casualty department in last two weeks,Health,All persons,NA
National Health Survey,AHSnhs11bsp,HEALF17E,Whether visited day clinic in last two weeks,Health,All persons,NA
National Health Survey,AHSnhs11bsp,INCCIMSC,Main source of personal cash income,Personal income,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,INCGOECA,Type of government pension or allowance received (A),NA,NA,NA
National Health Survey,AHSnhs11bsp,INCGOECB,Type of government pension or allowance received (B),NA,NA,NA
National Health Survey,AHSnhs11bsp,INCGOECC,Type of government pension or allowance received (C),NA,NA,NA
National Health Survey,AHSnhs11bsp,INCGOECD,Type of government pension or allowance received (D),NA,NA,NA
National Health Survey,AHSnhs11bsp,INCGOECE,Type of government pension or allowance received (E),NA,NA,NA
National Health Survey,AHSnhs11bsp,INCGOECF,Type of government pension or allowance received (F),NA,NA,NA
National Health Survey,AHSnhs11bsp,INCGOECG,Type of government pension or allowance received (G),NA,NA,NA
National Health Survey,AHSnhs11bsp,INCGOECH,Type of government pension or allowance received (H),NA,NA,NA
National Health Survey,AHSnhs11bsp,INCGOECI,Type of government pension or allowance received (I),NA,NA,NA
National Health Survey,AHSnhs11bsp,INCGOECJ,Type of government pension or allowance received (J),NA,NA,NA
National Health Survey,AHSnhs11bsp,INCRACFA,Sources of cash income (A),NA,NA,NA
National Health Survey,AHSnhs11bsp,INCRACFB,Sources of cash income (B),NA,NA,NA
National Health Survey,AHSnhs11bsp,INCRACFC,Sources of cash income (C),NA,NA,NA
National Health Survey,AHSnhs11bsp,INCRACFD,Sources of cash income (D),NA,NA,NA
National Health Survey,AHSnhs11bsp,EMPARRCF,Working arrangements,Employment,All employed persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,HEAL12MA,Actions taken for health in last 12 months (A),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL12MB,Actions taken for health in last 12 months (B),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL12MC,Actions taken for health in last 12 months (C),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL12MD,Actions taken for health in last 12 months (D),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL12ME,Actions taken for health in last 12 months (E),NA,NA,NA
