survey_long,file,variable,description,sheet,population,definition
National Health Survey,AHSnhs11b14,ALCTYPT,Type of drink consumed,Alcohol levels,All persons aged 15 years and over who consumed alcohol in last week,NA
National Health Survey,AHSnhs11b14,LEVEL5,Record level identifier for SuperCROSS - Alcohol Type level (L14),Administrative,NA,NA
National Health Survey,AHSnhs11b14,ABSCID,Condition number,Administrative,NA,NA
National Health Survey,AHSnhs11b14,ABSGID,Condition Group number,Administrative,NA,NA
National Health Survey,AHSnhs11b14,ABSTID,Alcohol Type number,Administrative,NA,NA
National Health Survey,AHSnhs11b14,ABSUID,Biomedical number,Administrative,NA,NA
National Health Survey,AHSnhs11b14,ABSMID,Medication number,Administrative,NA,NA
National Health Survey,AHSnhs11b14,ABSPID,Person (Selected Person) number,Administrative,NA,NA
National Health Survey,AHSnhs11b14,ABSBID,Alcohol record number,Administrative,NA,NA
National Health Survey,AHSnhs11ba3,ABSLID,Household record identifer,Administrative,NA,NA
National Health Survey,AHSnhs11ba3,TOTPA3CR,Mls of pure alcohol consumed by day,Alcohol levels,All persons aged 15 years and over who consumed alcohol in last week,NA
National Health Survey,AHSnhs11ba3,ALCORD,Order of consumption,Alcohol levels,All persons aged 15 years and over who consumed alcohol in last week,NA
National Health Survey,AHSnhs11ba3,DAY3ALC,Days consumed alcohol in most recent 3 days,Alcohol levels,All persons aged 15 years and over who consumed alcohol in last week,NA
National Health Survey,AHSnhs11ba3,LEVEL4,Record level identifier for SuperCROSS - Alcohol Day level (L3),Administrative,NA,NA
National Health Survey,AHSnhs11ba3,ABSBID,Alcohol record number,Administrative,NA,NA
National Health Survey,AHSnhs11ba3,ABSCID,Condition number,Administrative,NA,NA
National Health Survey,AHSnhs11ba3,ABSGID,Condition Group number,Administrative,NA,NA
National Health Survey,AHSnhs11ba3,ABSTID,Alcohol Type number,Administrative,NA,NA
National Health Survey,AHSnhs11ba3,ABSUID,Biomedical number,Administrative,NA,NA
National Health Survey,AHSnhs11ba3,ABSMID,Medication number,Administrative,NA,NA
National Health Survey,AHSnhs11ba3,ABSPID,Person (Selected Person) number,Administrative,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11ba,ABSHID,Household identifier,Administrative items,All levels,NA
Nutrition & Physical Activity Survey,AHSnpa11ba,ABSPID,Selected person identifier,Administrative,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11ba,DAYNUM,Day Number for Intake,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11ba,ADGFOOD,Food group,ADG level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11ba,ADGINC,ADG food source inclusions,ADG level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11ba,ADGSRV,Serve amount,ADG level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11ba,ABSLFID,Record identifier for the ADGSUM level,Administrative items,All levels,NA
Nutrition & Physical Activity Survey,AHSnpa11ba,LEVELF,Level identifier for ADG group level,Administrative items,ADG,NA
Nutrition & Physical Activity Survey,AHSnpa11ba,ABSSID,Supplement record identifier,Administrative items,All levels,NA
Nutrition & Physical Activity Survey,AHSnpa11ba,ABSFID,Food record identifier,Administrative items,All levels,NA
Nutrition & Physical Activity Survey,AHSnpa11ba,ABSBID,Record identifier for the biomedical level,Administrative,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,ABSBID,Record identifier for the biomedical level,Administrative,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,ABSFID,Food record identifier,Administrative items,All levels,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,ABSSID,Supplement record identifier,Administrative items,All levels,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,ACRIPA,Albumin Creatinine Ratio (ACR) status (mg/mmol),Biomedical level,Persons aged 18 years and over who participated in the biomedical component,Macroalbuminuria is defined as ACR >25mg/mol for males and >35mg/mol for females; microalbuminuria is defined as ACR ≥2.5mg/mol and ≤25 mg/mol for males and ≥3.5mg/mol and ≤35 mg/mol for females; normoalbuminuria is defined as ACR <2.5mg/mol for males and <3.5mg/mol for females.
Nutrition & Physical Activity Survey,AHSnpa11bb,ACRNTR,Albuminuria status (mg/mmol),Biomedical level,Persons aged 18 years and over who participated in the biomedical component,Presence of albuminuria is defined as ACR ≥2.5mg/mol for males and ≥3.5mg/mol for females. No presence of albuminuria is defined as ACR <2.5mg/mol for males and <3.5mg/mol for females
Nutrition & Physical Activity Survey,AHSnpa11bb,ALTNTR,Alanine aminotransferase (ALT) status (U/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,The following levels indicate abnormal ALT: >30U/L for males aged 12-14 years and females aged 12 years and over; >40U/L for males aged 15 years and over.
Nutrition & Physical Activity Survey,AHSnpa11bb,ALTRESB,Alanine aminotransferase (ALT) - categories (U/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,APOBNTR,Apolipoprotein B (ApoB) status (g/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,Normal apolipoprotein B is defined as ≤1.3mmol/L for males and ≤1.2mmol/L for females; abnormal apolipoprotein B is defined as >1.3mmol/L for males and >1.2mmol/L for females.
Nutrition & Physical Activity Survey,AHSnpa11bb,APOBRESB,Apolipoprotein B - ranged (g/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,B12RESB,Vitamin B12 - ranged (pmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,BIORESPC,Biomedical response status,Biomedical level,Selected persons aged 5 years and over,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,CHOLNTR,Total cholesterol status (mmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,Normal total cholesterol <5.5mmol/L; abnormal total cholesterol ≥5.5mmol/L.
Nutrition & Physical Activity Survey,AHSnpa11bb,CHOLRESB,Total cholesterol - ranged (mmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,COTINIES,Cotinine status (nmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,CVDMEDST,Dyslipidaemia status (lipid medication status and lipid levels),Biomedical level,Persons aged 18 years and over who participated in the biomedical component and fasted for 8 hours or more,Please refer to the glossary for the definition of dyslipidaemia.
Nutrition & Physical Activity Survey,AHSnpa11bb,DIABFPGE,Diabetes prevalence - fasting plasma glucose (mmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component and fasted for 8 hours or more,Please refer to the glossary for the definition of known diabetes.
Nutrition & Physical Activity Survey,AHSnpa11bb,DIABPRVE,Diabetes prevalence - HbA1c (%),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,Please refer to the glossary for the definition of known diabetes.
Nutrition & Physical Activity Survey,AHSnpa11bb,DIAHBRSK,HbA1c status (%),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,HbA1c(mmol/mol) is calculated from HbA1c(%) using the following equation: 20 + 11(HbA1c(%) - 4)
Nutrition & Physical Activity Survey,AHSnpa11bb,DIAHMRSK,HbA1c status (mmol/mol),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,HbA1c(mmol/mol) is calculated from HbA1c(%) using the following equation: 20 + 11(HbA1c(%) - 4)
Nutrition & Physical Activity Survey,AHSnpa11bb,EGFRIMP,eGFR status (mL/min/1.73m^2),Biomedical level,Persons aged 18 years and over who participated in the biomedical component,Normal eGFR ≥60mL/min/1.73m2; Impaired eGFR <60mL/min/1.73m2
Nutrition & Physical Activity Survey,AHSnpa11bb,EGFRKDSA,Chronic Kidney Disease (CKD) stages (mL/min/1.73m^2),Biomedical level,Persons aged 18 years and over who participated in the biomedical component,Please refer to the glossary for the definition of chronic kidney disease stages.
Nutrition & Physical Activity Survey,AHSnpa11bb,EGFRRESB,eGFR - ranged (mL/min/1.73m2),Biomedical level,Persons aged 18 years and over who participated in the biomedical component,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,FASTSTAD,Fasting status,Biomedical level,Persons aged 12 years and over who participated in the biomedical component,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,FERRCRPB,Serum ferritin (excluding elevated CRP) - ranged (¬µg/L),Biomedical level,Persons aged 12 years and over who participated in biomeds and had a CRP result =< 10,Results are excluded if CRP is elevated (not applicable)
Nutrition & Physical Activity Survey,AHSnpa11bb,FOLATREB,Folate - ranged (nmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,GGTNTR,Gamma glutamyl transferase (GGT) status (U/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,The following levels indicate abnormal GGT: >30U/L for children aged 12-14 years; >35U/L for females aged 15 years and over; >40U/L for males aged 15-17 years; >50U/L for males aged 18 years and over.
Nutrition & Physical Activity Survey,AHSnpa11bb,GGTRESB,Gamma glutamyl transferase (GGT) - ranged (U/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,GLUCFPD,Fasting plasma glucose status (mmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component and fasted for 8 hours or more,Fasting plasma glucose ≤6.0mmol/L indicates no diabetes; impaired fasting plasma glucose >6.0mmol/L and <7.0 mmol/L; fasting plasma glucose ≥7.0 mmol/L indicates diabetes.
Nutrition & Physical Activity Survey,AHSnpa11bb,GLUCFREB,Fasting plasma glucose - ranged (mmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component and fasted for 8 hours or more,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,HBA1MREB,HbA1c - ranged (mmol/mol),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,HBA1PREB,HbA1c - ranged (%),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,HbA1c(mmol/mol) is calculated from HbA1c(%) using the following equation: 20 + 11(HbA1c(%) - 4)
Nutrition & Physical Activity Survey,AHSnpa11bb,HBDAP,Haemoglobin status (g/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,The following haemoglobin levels indicate risk of anaemia: <120 g/L for children aged 12-14 years and females aged 15 years or older who are not pregnant; <130 g/L for males aged 15 years or older; <110 g/L for pregnant women.
Nutrition & Physical Activity Survey,AHSnpa11bb,HDLCHNTR,HDL cholesterol status - non-sex dependent (mmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,Normal non-sex dependent HDL cholesterol ≥1.0mmol/L; abnormal non-sex dependent HDL cholesterol <1.0mmol/L.
Nutrition & Physical Activity Survey,AHSnpa11bb,HDLCHREB,HDL cholesterol - ranged (mmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,HDLCHSEX,HDL cholesterol status - sex dependent (mmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,Normal sex dependent HDL cholesterol is defined as ≥1.0mmol/L for males and ≥1.3mmol/L for females; abnormal sex dependent HDL cholesterol is defined as <1.0mmol/L for males and <1.3mmol/L for females.
Nutrition & Physical Activity Survey,AHSnpa11bb,LDLNTR,Fasting LDL cholesterol status (mmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component and fasted for 8 hours or more,Normal fasting LDL cholesterol <3.5mmol/L; abnormal fasting LDL cholesterol ≥3.5mmol/L. All persons with fasting triglycerides results ≥4.5mmol/L were excluded.
Nutrition & Physical Activity Survey,AHSnpa11bb,LDLRESB,Fasting LDL cholesterol - ranged (mmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component and fasted for 8 hours or more,All persons with triglycerides results ≥4.5mmol/L were excluded.
Nutrition & Physical Activity Survey,AHSnpa11bb,LEVEL10,Biomedical level,Administrative,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,MONTHCOL,Month of biomedical collection,Biomedical level,Persons aged 5 years and over who participated in the biomedical component,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,NHMSPERW,Biomedical weight PAA,Administrative,Biomedical participants (Biomedical level),NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT01,Replicate weights - NNPAS biomedical (01),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT02,Replicate weights - NNPAS biomedical (02),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT03,Replicate weights - NNPAS biomedical (03),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT04,Replicate weights - NNPAS biomedical (04),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT05,Replicate weights - NNPAS biomedical (05),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT06,Replicate weights - NNPAS biomedical (06),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT07,Replicate weights - NNPAS biomedical (07),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT08,Replicate weights - NNPAS biomedical (08),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT09,Replicate weights - NNPAS biomedical (09),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT10,Replicate weights - NNPAS biomedical (10),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT11,Replicate weights - NNPAS biomedical (11),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT12,Replicate weights - NNPAS biomedical (12),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT13,Replicate weights - NNPAS biomedical (13),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT14,Replicate weights - NNPAS biomedical (14),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT15,Replicate weights - NNPAS biomedical (15),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT16,Replicate weights - NNPAS biomedical (16),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT17,Replicate weights - NNPAS biomedical (17),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT18,Replicate weights - NNPAS biomedical (18),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT19,Replicate weights - NNPAS biomedical (19),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT20,Replicate weights - NNPAS biomedical (20),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT21,Replicate weights - NNPAS biomedical (21),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT22,Replicate weights - NNPAS biomedical (22),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT23,Replicate weights - NNPAS biomedical (23),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT24,Replicate weights - NNPAS biomedical (24),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT25,Replicate weights - NNPAS biomedical (25),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT26,Replicate weights - NNPAS biomedical (26),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT27,Replicate weights - NNPAS biomedical (27),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT28,Replicate weights - NNPAS biomedical (28),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT29,Replicate weights - NNPAS biomedical (29),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT30,Replicate weights - NNPAS biomedical (30),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT31,Replicate weights - NNPAS biomedical (31),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT32,Replicate weights - NNPAS biomedical (32),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT33,Replicate weights - NNPAS biomedical (33),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT34,Replicate weights - NNPAS biomedical (34),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT35,Replicate weights - NNPAS biomedical (35),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT36,Replicate weights - NNPAS biomedical (36),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT37,Replicate weights - NNPAS biomedical (37),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT38,Replicate weights - NNPAS biomedical (38),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT39,Replicate weights - NNPAS biomedical (39),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT40,Replicate weights - NNPAS biomedical (40),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT41,Replicate weights - NNPAS biomedical (41),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT42,Replicate weights - NNPAS biomedical (42),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT43,Replicate weights - NNPAS biomedical (43),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT44,Replicate weights - NNPAS biomedical (44),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT45,Replicate weights - NNPAS biomedical (45),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT46,Replicate weights - NNPAS biomedical (46),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT47,Replicate weights - NNPAS biomedical (47),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT48,Replicate weights - NNPAS biomedical (48),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT49,Replicate weights - NNPAS biomedical (49),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT50,Replicate weights - NNPAS biomedical (50),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT51,Replicate weights - NNPAS biomedical (51),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT52,Replicate weights - NNPAS biomedical (52),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT53,Replicate weights - NNPAS biomedical (53),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT54,Replicate weights - NNPAS biomedical (54),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT55,Replicate weights - NNPAS biomedical (55),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT56,Replicate weights - NNPAS biomedical (56),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT57,Replicate weights - NNPAS biomedical (57),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT58,Replicate weights - NNPAS biomedical (58),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT59,Replicate weights - NNPAS biomedical (59),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,RPWGT60,Replicate weights - NNPAS biomedical (60),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,SOLTRREB,Soluble transferrin receptor (sTfR) - ranged (mg/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,TRIGNTR,Fasting triglycerides status (mmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component and fasted for 8 hours or more,Normal fasting triglycerides status <2.0mmol/L; abnormal fasting triglycerides status ≥ 2.0mmol/L.
Nutrition & Physical Activity Survey,AHSnpa11bb,TRIGRESB,Fasting triglycerides - ranged (mmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component and fasted for 8 hours or more,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,VDLCMREB,Vitamin D (LCMS) - detailed ranged (nmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,VDLCMRGT,Vitamin D (LCMS) ranged (nmol/L),Biomedical level,Persons aged 12 years and over who participated in the biomedical component,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,ABSHID,Household identifier,Administrative items,All levels,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,ABSPID,Selected person identifier,Administrative,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bb,ABSLFID,Record identifier for the ADGSUM level,Administrative items,All levels,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,GRAMWGT,Gram weight of food,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,FOODCODC,Food code (8 digit),Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,ENERGYWF,Energy with dietary fibre kJ,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,ENERGYNF,Energy without dietary fibre kJ,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,MOISTURE,Moisture g,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,PROTEIN,Protein g,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,FATG,Total fat g,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,CHOWSA,Carbohydrate with sugar alcohols g,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,CHOWOSA,Carbohydrate without sugar alcohols g,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,STARCH,Starch g,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,SUGARS,Total sugars g,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,FIBRE,Dietary fibre g,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,ALCOHOL,Alcohol g,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,PREVITA,Preformed vitamin A (retinol) ug,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,PROVITA,Pro-vitamin A (b-carotene equivalents) ug,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,RETEQV,Retinol equivalents ug,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,B1MG,Thiamin (B1) mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,B2MG,Riboflavin (B2) mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,B3MG,Niacin (B3) mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,NIACINEQ,Niacin equivalents mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,FOLATEUG,Folate natural ug,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,FOLACID,Folic acid ug,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,TOTFOL,Total folates ug,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,FOLATEQV,Dietary folate equivalents ug,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,B6MG,Vitamin B6 mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,B12UG,Vitamin B12 ug,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,VITCMG,Vitamin C mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,VITEMG,Vitamin E mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,CALMG,Calcium mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,IODINEUG,Iodine ug,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,IRONMG,Iron mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,MAGMG,Magnesium mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,PHOSMG,Phosphorous mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,POTASMG,Potassium mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,SELUG,Selenium ug,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,SODMG,Sodium mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,ZINCMG,Zinc mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,CAFFMG,Caffeine mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,CHOLMG,Cholesterol mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,SFAG,Saturated fat g,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,MUFAG,Monounsaturated fat g,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,PUFAG,Polyunsaturated fat g,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,LAG,Linoleic acid g,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,ALAG,Alpha-linolenic acid g,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,LCN3MG,Total long chain omega 3 fatty acids mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,TRANSMG,Trans fatty acids mg,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,COMBCODE,Food combination type,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,EATTIMEC,Time began to eat/drink food,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,EATOCC,Eating Occasion,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,DAYNUM,Day Number for Intake,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,ABSHID,Household identifier,Administrative items,All levels,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,ABSPID,Selected person identifier,Administrative,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,TWDIGC,Major food groups,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,THRDIGC,Sub-major food groups,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,FIVDIGC,Minor food groups,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,LEVEL11,Food level,Administrative items,Food,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,DISCFLG,Flag for discretionary food,Food level,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bf,GRNSRV,Grains and cereals (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,WGSRV,Wholegrain or high fibre cereal/grains (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,WGBRSRV,Wholegrain or high fibre breads (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,WGGNSRV,Wholegrain or high fibre grains (excluding oats) (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,WGOASRV,Wholegrain or high fibre oats (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,WGBFSRV,Wholegrain or high fibre breakfast cereal flakes (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,WGSVSRV,Wholegrain or high fibre savoury crackers/cripsbreads (serves),Food level,All persons,X
